"Data";"Descrição";"Preço de custo";"Quantidade";"Preço unitário";"Total dos Produtos";"Valor total"
"02/01/2023";"Mumu 1,5 L Chocomenta";"0,00";"1,00";"33,90";"126,08";"33,90"
"02/01/2023";"Oleo essencial citronela - Phytoterapica";"0,00";"1,00";"20,90";"26,90";"20,90"
"02/01/2023";"Only 4 - 5g (chocolate)";"0,00";"2,00";"2,00";"26,90";"4,00"
"02/01/2023";"Ovinho de amendoim tradicional";"5,90";"2,00";"5,90";"51,39";"11,80"
"02/01/2023";"Pacoquita Individual";"0,00";"2,00";"4,00";"133,76";"4,00"
"02/01/2023";"Palha italiana vegana (Seren dips)";"0,00";"1,00";"7,50";"56,64";"7,50"
"02/01/2023";"Pao de beijo Raizes";"0,00";"2,00";"39,80";"284,33";"39,80"
"02/01/2023";"Pao de melado - ganache meio amargo (Seren dips)";"0,00";"1,00";"7,50";"36,99";"7,50"
"02/01/2023";"Rapadurinha de Minas";"0,00";"1,00";"2,00";"26,90";"2,00"
"02/01/2023";"Refeicao Delivery (Seg a Sex) *";"0,00";"6,00";"49,98";"245,63";"149,94"
"02/01/2023";"Salada Extra (Delivery)";"0,00";"2,00";"3,00";"190,65";"6,00"
"02/01/2023";"Sobremesa aniversario - Salao";"0,00";"1,00";"0,00";"89,97";"0,00"
"02/01/2023";"Suco de maca (Campo Largo) 200ml";"0,00";"1,00";"4,50";"36,99";"4,50"
"02/01/2023";"Suco-refresco do dia";"0,00";"39,00";"105,00";"1.536,48";"183,73"
"02/01/2023";"Torta holandesa (pedaco) - Salao";"0,00";"1,00";"10,00";"72,98";"10,00"
"02/01/2023";"Torta holandesa (pedaco) - Viagem";"0,00";"1,00";"10,00";"71,48";"10,00"
"02/01/2023";"Wewi Cola";"0,00";"3,00";"19,50";"175,95";"19,50"
"02/01/2023";"Wewi Guarana";"0,00";"1,00";"6,50";"72,98";"6,50"
"02/01/2023";"Zona Azul 1 hora";"0,00";"4,00";"4,50";"213,34";"9,00"
"03/01/2023";"(Viagem salao) Refeicao Seg a Sexta *";"0,00";"4,00";"95,96";"173,99";"95,96"
"03/01/2023";"Biscoito Krocao Banana e Aveia";"0,00";"1,00";"11,70";"41,69";"11,70"
"03/01/2023";"Bites Free minis - Pacoquinha Fit (NaturalLife)";"0,00";"1,00";"10,90";"175,47";"10,90"
"03/01/2023";"Bombom Sakura - ganache meio amargo (Seren dips)";"0,00";"1,00";"7,50";"37,49";"7,50"
"03/01/2023";"Brownie (pedaco) (sobremesa salao)";"0,00";"1,00";"8,00";"72,98";"8,00"
"03/01/2023";"Brownie (viagem - pronto)";"0,00";"1,00";"8,00";"207,92";"8,00"
"03/01/2023";"Brownie com 01 bola de sorvete";"0,00";"2,00";"30,00";"119,97";"25,37"
"03/01/2023";"Buffet a vontade (Seg a Sexta) *";"0,00";"57,00";"899,64";"1.962,60";"1.375,89"
"03/01/2023";"Combo Almoço+sobremesa+bebida (Seg a Sex)";"0,00";"1,00";"34,99";"207,92";"34,99"
"03/01/2023";"Cookie Cumaru com chocolate (1un) Raizes";"0,00";"1,00";"7,00";"31,99";"7,00"
"03/01/2023";"Dadinho";"0,00";"10,00";"0,50";"5,00";"5,00"
"03/01/2023";"Goiabinha 250 gr - Vovo Floria";"0,00";"2,00";"29,80";"215,36";"29,80"
"03/01/2023";"Leite condensado 250 gr - Vovo Floria";"0,00";"1,00";"14,90";"91,78";"14,90"
"03/01/2023";"Leite Naveia Original";"0,00";"3,00";"31,80";"402,98";"47,70"
"03/01/2023";"Linguica de soja Goshen";"0,00";"1,00";"18,90";"175,47";"18,90"
"03/01/2023";"Marmita Raiz";"0,00";"2,00";"29,98";"222,91";"29,98"
"03/01/2023";"Mondo Picole - Blond Biscoito Belga";"0,00";"2,00";"25,80";"379,14";"25,80"
"03/01/2023";"Mondo Picole - Choco Nuts";"0,00";"3,00";"35,70";"310,69";"35,70"
"03/01/2023";"Mousse de chocolate - Vidaveg";"0,00";"1,00";"10,90";"61,13";"10,90"
"03/01/2023";"Palha italiana vegana (Seren dips)";"0,00";"1,00";"7,50";"62,48";"4,36"
"03/01/2023";"Pao de beijo Raizes";"0,00";"1,00";"19,90";"69,88";"19,90"
"03/01/2023";"Pao de melado - creme de amendoas (Seren dips)";"0,00";"1,00";"7,50";"58,19";"7,50"
"03/01/2023";"Pao de melado - ganache meio amargo (Seren dips)";"0,00";"2,00";"7,50";"44,99";"15,00"
"03/01/2023";"Pao recheado - Raizes";"0,00";"1,00";"22,00";"175,47";"22,00"
"03/01/2023";"Peito de peru de soja Goshen";"0,00";"3,00";"15,90";"47,70";"40,59"
"03/01/2023";"Picadinho ao molho caseiro Sora";"0,00";"1,00";"16,90";"175,47";"16,90"
"03/01/2023";"Queijo parmesao ralado Sora";"0,00";"4,00";"20,70";"156,87";"27,60"
"03/01/2023";"Refeicao crianca 5 a 10 anos (qualquer dia) *";"0,00";"1,00";"12,99";"100,21";"12,99"
"03/01/2023";"Refeicao Delivery (Seg a Sex) *";"0,00";"15,00";"49,98";"510,03";"374,85"
"03/01/2023";"Salada Extra (Delivery)";"0,00";"2,00";"3,00";"302,11";"6,00"
"03/01/2023";"Suco-refresco do dia";"0,00";"25,00";"100,00";"1.235,04";"121,36"
"03/01/2023";"Torta holandesa (pedaco) - Salao";"0,00";"3,00";"30,00";"239,74";"30,00"
"03/01/2023";"Torta holandesa (pedaco) - Viagem";"0,00";"2,00";"10,00";"302,11";"20,00"
"03/01/2023";"Tubes Free Creme de chocolate";"0,00";"1,00";"7,90";"7,90";"7,90"
"03/01/2023";"Wewi Guarana";"0,00";"1,00";"6,50";"302,11";"6,50"
"03/01/2023";"Zona Azul 1 hora";"0,00";"6,00";"13,50";"325,09";"13,50"
"04/01/2023";"(1un) Muffin de banana - Raizes";"0,00";"4,00";"7,00";"607,03";"28,00"
"04/01/2023";"(Viagem salao) Refeicao Seg a Sexta *";"0,00";"2,00";"49,98";"74,97";"49,98"
"04/01/2023";"Bananinha com acucar - Paraibuna";"0,00";"1,00";"3,20";"3,20";"3,20"
"04/01/2023";"Basi Co - Queijo minas frescal";"0,00";"1,00";"25,90";"607,03";"25,90"
"04/01/2023";"Bauru proteico 2 un - Lar Vegan";"0,00";"1,00";"17,90";"607,03";"17,90"
"04/01/2023";"Brownie com 01 bola de sorvete";"0,00";"2,00";"15,00";"129,97";"30,00"
"04/01/2023";"Buffet a vontade (Seg a Sexta) *";"0,00";"63,00";"949,62";"2.084,46";"1.571,54"
"04/01/2023";"Castanha de caju torrada e salgada 250g";"0,00";"1,00";"20,90";"282,69";"20,90"
"04/01/2023";"Coador de Pano Voal";"0,00";"2,00";"25,00";"114,98";"50,00"
"04/01/2023";"Colar aromatizador (mandala) - Phytoterapica";"0,00";"1,00";"69,90";"69,90";"69,90"
"04/01/2023";"Combo Almoço+sobremesa+bebida (Seg a Sex)";"0,00";"3,00";"34,99";"607,03";"104,97"
"04/01/2023";"Cookie Cumaru com chocolate (1un) Raizes";"0,00";"1,00";"7,00";"36,99";"7,00"
"04/01/2023";"Creme de soja Batavo";"0,00";"2,00";"6,50";"92,78";"13,00"
"04/01/2023";"Dadinho";"0,00";"4,00";"0,50";"77,88";"2,00"
"04/01/2023";"Esponja vegetal para louça - Biowash";"0,00";"1,00";"8,90";"71,78";"8,90"
"04/01/2023";"Goiabinha 250 gr - Vovo Floria";"0,00";"2,00";"14,90";"92,78";"29,80"
"04/01/2023";"Grand Gateau (incluir o mondo) - Salao";"0,00";"1,00";"10,00";"96,38";"10,00"
"04/01/2023";"Iogurte grego tradicional - Vidaveg";"0,00";"1,00";"9,90";"607,03";"9,90"
"04/01/2023";"Leite condensado 250 gr - Vovo Floria";"0,00";"1,00";"14,90";"29,80";"14,90"
"04/01/2023";"Leite condensado de soja - Soymilke";"0,00";"1,00";"16,90";"282,69";"16,90"
"04/01/2023";"Leite Naveia Original";"0,00";"1,00";"15,90";"607,03";"15,90"
"04/01/2023";"Marmita Raiz";"0,00";"6,00";"29,98";"889,72";"89,94"
"04/01/2023";"Mondo Picole - Blond Biscoito Belga";"0,00";"3,00";"38,70";"206,05";"38,70"
"04/01/2023";"Mondo Picole - Original";"0,00";"1,00";"10,90";"607,03";"10,90"
"04/01/2023";"Mousse de chocolate - Vidaveg";"0,00";"1,00";"10,90";"607,03";"10,90"
"04/01/2023";"Mumu 1,5L cafe com chocolate";"0,00";"1,00";"36,90";"96,88";"36,90"
"04/01/2023";"Nata com coco 250 gr - Vovo Floria";"0,00";"1,00";"14,90";"29,80";"14,90"
"04/01/2023";"Oleo essencial citronela - Phytoterapica";"0,00";"1,00";"20,90";"77,88";"20,90"
"04/01/2023";"Only 4 - 5g (chocolate)";"0,00";"4,00";"4,00";"8,00";"8,00"
"04/01/2023";"Pizza brotinho (Oliva) - Lar vegan";"0,00";"1,00";"11,90";"607,03";"11,90"
"04/01/2023";"Porcao a parte";"0,00";"1,00";"8,00";"607,03";"8,00"
"04/01/2023";"Queijo parmesao ralado Sora";"0,00";"1,00";"6,90";"39,14";"6,90"
"04/01/2023";"Refeicao Delivery (Seg a Sex) *";"0,00";"19,00";"49,98";"889,72";"474,81"
"04/01/2023";"Requeijao Vidaveg tradicional";"0,00";"1,00";"14,90";"607,03";"14,90"
"04/01/2023";"Salada Extra (Delivery)";"0,00";"6,00";"3,00";"607,03";"18,00"
"04/01/2023";"Sobremesa aniversario - Salao";"0,00";"1,00";"0,00";"29,99";"0,00"
"04/01/2023";"Suco-refresco do dia";"0,00";"28,00";"105,00";"1.371,45";"140,00"
"04/01/2023";"Torta holandesa (pedaco) - Salao";"0,00";"6,00";"60,00";"481,29";"60,00"
"04/01/2023";"Torta holandesa (pedaco) - Viagem";"0,00";"1,00";"10,00";"282,69";"10,00"
"04/01/2023";"Wewi Cola Zero";"0,00";"1,00";"8,50";"96,38";"8,50"
"04/01/2023";"Zona Azul 1 hora";"0,00";"10,00";"20,25";"454,24";"22,33"
"05/01/2023";"(Viagem salao) Refeicao Seg a Sexta *";"0,00";"5,00";"93,96";"661,22";"116,95"
"05/01/2023";"Agua Mineral Com Gas 500ml";"0,00";"1,00";"4,00";"113,88";"3,69"
"05/01/2023";"Basi Co - Requeijao";"0,00";"1,00";"16,90";"81,88";"16,90"
"05/01/2023";"Bauru proteico 2 un - Lar Vegan";"0,00";"1,00";"17,90";"552,26";"17,90"
"05/01/2023";"Bombom Sakura - creme de amendoas  (Seren dips)";"0,00";"1,00";"7,50";"39,99";"7,50"
"05/01/2023";"Bombom Sakura - creme de amendoim (Seren dips)";"0,00";"3,00";"22,50";"261,33";"22,50"
"05/01/2023";"Bombom Sakura - ganache meio amargo (Seren dips)";"0,00";"4,00";"30,00";"301,13";"30,00"
"05/01/2023";"Bombom Smore Baunilha - Smarsh";"0,00";"1,00";"4,90";"122,86";"4,90"
"05/01/2023";"Brownie (viagem - pronto)";"0,00";"4,00";"24,00";"1.166,12";"32,00"
"05/01/2023";"Brownie com 01 bola de sorvete";"0,00";"1,00";"15,00";"74,98";"15,00"
"05/01/2023";"Buffet a vontade (Seg a Sexta) *";"0,00";"80,00";"1.149,54";"2.791,78";"1.956,50"
"05/01/2023";"Chocolate 250 gr - Vovo Floria";"0,00";"1,00";"14,90";"114,39";"11,94"
"05/01/2023";"Coco branco (Super Vegan)";"0,00";"1,00";"14,00";"89,88";"14,00"
"05/01/2023";"Combo Almoço+sobremesa+bebida (Seg a Sex)";"0,00";"4,00";"69,98";"1.090,14";"139,96"
"05/01/2023";"Cookie Cumaru com chocolate (1un) Raizes";"0,00";"1,00";"7,00";"537,88";"7,00"
"05/01/2023";"Creme de soja Batavo";"0,00";"1,00";"6,50";"68,73";"6,50"
"05/01/2023";"Creme dental Menta e Melaleuca - Boni Natural";"0,00";"1,00";"16,90";"118,59";"16,90"
"05/01/2023";"Creme dental Phytoterapica";"0,00";"2,00";"16,90";"118,59";"33,80"
"05/01/2023";"Espetinhos congelados (Raizes)";"0,00";"1,00";"21,90";"537,88";"21,90"
"05/01/2023";"Futuro Atum";"0,00";"2,00";"39,80";"655,65";"39,80"
"05/01/2023";"Goiabinha 250 gr - Vovo Floria";"0,00";"2,00";"29,80";"144,76";"29,80"
"05/01/2023";"GoodSoy - Snack de bacon";"0,00";"1,00";"3,90";"552,26";"3,90"
"05/01/2023";"GoodSoy - Snack de ervas finas";"0,00";"1,00";"3,90";"49,79";"3,90"
"05/01/2023";"Leite condensado de soja - Soymilke";"0,00";"1,00";"16,90";"537,88";"16,90"
"05/01/2023";"Leite Naturis Tradicional Batavo";"0,00";"2,00";"10,90";"537,88";"21,80"
"05/01/2023";"Leite Not Milk Chocolate";"14,46";"2,00";"31,80";"142,57";"21,04"
"05/01/2023";"Manteiga de castanha de caju - Vidaveg";"0,00";"1,00";"16,90";"92,78";"5,46"
"05/01/2023";"Marmita Raiz";"0,00";"9,00";"29,98";"1.090,14";"134,91"
"05/01/2023";"Mix de frutas secas castanhas 250gr";"0,00";"1,00";"20,90";"89,88";"20,90"
"05/01/2023";"Mondo 473ml Candy bar";"0,00";"1,00";"31,90";"537,88";"31,90"
"05/01/2023";"Mondo Picole - Blond Biscoito Belga";"0,00";"4,00";"25,80";"620,14";"51,60"
"05/01/2023";"Mondo Picole - Choco Nuts";"0,00";"1,00";"11,90";"537,88";"11,90"
"05/01/2023";"Mondo Picole - Original";"0,00";"1,00";"10,90";"537,88";"10,90"
"05/01/2023";"Mumu 1,5 L Chocolate";"0,00";"1,00";"33,90";"114,39";"27,18"
"05/01/2023";"Oleo essencial lavanda - Phytoterapica";"0,00";"1,00";"42,90";"118,59";"42,90"
"05/01/2023";"Oleo essencial Lavanda 5ml- Phytoterapica";"0,00";"1,00";"34,90";"113,88";"32,16"
"05/01/2023";"Palha italiana vegana (Seren dips)";"0,00";"5,00";"15,00";"619,76";"37,50"
"05/01/2023";"Pao de beijo Raizes";"0,00";"1,00";"19,90";"552,26";"19,90"
"05/01/2023";"Pasoka - chocolate 70%";"0,00";"1,00";"4,90";"114,39";"3,93"
"05/01/2023";"Pasoka - pistache e coco";"0,00";"1,00";"4,90";"114,39";"3,93"
"05/01/2023";"Porcao a parte";"0,00";"6,00";"16,00";"584,26";"48,00"
"05/01/2023";"Queijo Defumado VegSeed";"0,00";"1,00";"39,90";"537,88";"39,90"
"05/01/2023";"Queijo Minas Frescal - Vidaveg";"0,00";"1,00";"25,90";"552,26";"25,90"
"05/01/2023";"Queijo mucarela fatiado - Vidaveg";"0,00";"2,00";"17,90";"537,88";"35,80"
"05/01/2023";"Queijo parmesao ralado Sora";"0,00";"1,00";"6,90";"114,39";"5,53"
"05/01/2023";"Refeicao crianca 5 a 10 anos (qualquer dia) *";"0,00";"2,00";"25,98";"190,83";"25,98"
"05/01/2023";"Refeicao Delivery (Seg a Sex) *";"0,00";"12,00";"49,98";"1.090,14";"299,88"
"05/01/2023";"Requeijao Vidaveg tradicional";"0,00";"1,00";"14,90";"552,26";"14,90"
"05/01/2023";"Requeisoy sabor cheddar";"0,00";"1,00";"13,20";"116,37";"13,20"
"05/01/2023";"Requeisoy sabor original";"0,00";"3,00";"39,60";"1.206,51";"39,60"
"05/01/2023";"Salada Extra (Delivery)";"0,00";"2,00";"3,00";"552,26";"6,00"
"05/01/2023";"Salsicha de soja - Goshen";"0,00";"1,00";"21,90";"537,88";"21,90"
"05/01/2023";"Suco de maca (Campo Largo) 200ml";"0,00";"1,00";"4,50";"537,88";"4,50"
"05/01/2023";"Suco-refresco do dia";"0,00";"33,00";"100,00";"1.474,38";"157,84"
"05/01/2023";"The New Chicken - Crispy Burger";"0,00";"1,00";"22,90";"47,30";"22,90"
"05/01/2023";"The New Chicken Kids";"0,00";"1,00";"16,90";"47,30";"16,90"
"05/01/2023";"Tofu Miraia (ate 250g)";"0,00";"1,00";"23,90";"114,39";"19,16"
"05/01/2023";"Torta holandesa (pedaco) - Salao";"0,00";"5,00";"50,00";"382,78";"50,00"
"05/01/2023";"Torta holandesa (pedaco) - Viagem";"0,00";"6,00";"20,00";"666,14";"58,43"
"05/01/2023";"Tubes Free Creme de chocolate";"0,00";"1,00";"7,90";"117,77";"7,90"
"05/01/2023";"Zona Azul 1 hora";"0,00";"6,00";"13,50";"259,91";"13,50"
"06/01/2023";"(Viagem salao) Refeicao Seg a Sexta *";"0,00";"3,00";"45,98";"93,96";"68,97"
"06/01/2023";"Bananinha com acucar - Paraibuna";"0,00";"2,00";"6,40";"418,72";"6,40"
"06/01/2023";"Bananinha sem acucar - Paraibuna";"0,00";"2,00";"3,80";"64,83";"7,60"
"06/01/2023";"Basi Co - Cream Cheese Culinario (Cajupiry)";"0,00";"2,00";"28,90";"153,40";"51,43"
"06/01/2023";"Bauru proteico 2 un - Lar Vegan";"0,00";"1,00";"17,90";"131,30";"11,09"
"06/01/2023";"Biscoito de polvilho Da Roca (Graos e Ervas Finas)";"0,00";"2,00";"11,00";"239,88";"10,28"
"06/01/2023";"Biscoito Krocao Cookies";"0,00";"1,00";"11,70";"76,68";"11,70"
"06/01/2023";"Bolinho sabor laranja com cenoura - Suavipan";"0,00";"1,00";"4,50";"6,50";"4,50"
"06/01/2023";"Bombom Sakura - creme de amendoas  (Seren dips)";"0,00";"2,00";"7,50";"153,40";"13,35"
"06/01/2023";"Bombom Sakura - creme de amendoim (Seren dips)";"0,00";"3,00";"15,00";"151,07";"22,50"
"06/01/2023";"Bombom Sakura - ganache meio amargo (Seren dips)";"0,00";"3,00";"15,00";"223,38";"21,67"
"06/01/2023";"Bombom Smore Baunilha - Smarsh";"0,00";"1,00";"4,90";"222,82";"4,90"
"06/01/2023";"Brownie (pedaco) (sobremesa salao)";"0,00";"1,00";"8,00";"32,99";"8,00"
"06/01/2023";"Brownie (viagem - pronto)";"0,00";"2,00";"16,00";"376,22";"15,12"
"06/01/2023";"Brownie com 01 bola de sorvete";"0,00";"5,00";"60,00";"380,80";"75,00"
"06/01/2023";"Buffet a vontade (Seg a Sexta) *";"0,00";"87,00";"1.094,56";"2.719,27";"2.129,13"
"06/01/2023";"Coco branco (Super Vegan)";"0,00";"1,00";"14,00";"46,24";"14,00"
"06/01/2023";"Combo Almoço+sobremesa+bebida (Seg a Sex)";"0,00";"1,00";"34,99";"222,82";"34,99"
"06/01/2023";"Cookie Cumaru com chocolate (1un) Raizes";"0,00";"4,00";"21,00";"202,44";"28,00"
"06/01/2023";"Creme de soja Batavo";"0,00";"2,00";"6,50";"131,30";"8,05"
"06/01/2023";"Creme dental Phytoterapica";"0,00";"1,00";"16,90";"91,88";"16,90"
"06/01/2023";"Dadinho";"0,00";"10,00";"1,00";"69,48";"5,00"
"06/01/2023";"Doce de leite de soja - Soymilke";"0,00";"1,00";"17,90";"82,78";"17,90"
"06/01/2023";"Esfiha calabresa 2 un - Lar Vegan";"0,00";"2,00";"35,80";"209,18";"28,99"
"06/01/2023";"Esfiha mista 2 un - Lar Vegan";"0,00";"1,00";"17,90";"131,30";"11,09"
"06/01/2023";"Esponja vegetal para louça - Biowash";"0,00";"1,00";"8,90";"86,48";"8,90"
"06/01/2023";"Goiabinha 250 gr - Vovo Floria";"0,00";"2,00";"29,80";"126,67";"29,80"
"06/01/2023";"Leite condensado 250 gr - Vovo Floria";"0,00";"1,00";"14,90";"131,30";"9,23"
"06/01/2023";"Manteiga de castanha de caju - Vidaveg";"0,00";"1,00";"16,90";"153,40";"15,04"
"06/01/2023";"Mumu 1,5L Banoffee";"0,00";"1,00";"36,90";"74,39";"36,90"
"06/01/2023";"Nata com coco 250 gr - Vovo Floria";"0,00";"1,00";"14,90";"82,78";"14,90"
"06/01/2023";"Only 4 - 5g (chocolate)";"0,00";"1,00";"2,00";"2,00";"2,00"
"06/01/2023";"Pacoquita Individual";"0,00";"5,00";"6,00";"144,21";"10,00"
"06/01/2023";"Pasoka - avela e cacau";"0,00";"1,00";"4,90";"59,78";"4,90"
"06/01/2023";"Pasoka - para e cafe";"0,00";"1,00";"4,90";"59,78";"4,90"
"06/01/2023";"Pizza brotinho (Oliva) - Lar vegan";"0,00";"2,00";"11,90";"153,40";"21,18"
"06/01/2023";"Presunto de soja Goshen";"0,00";"2,00";"15,90";"131,30";"19,70"
"06/01/2023";"Queijo parmesao ralado Sora";"0,00";"3,00";"20,70";"175,16";"20,70"
"06/01/2023";"Refeicao Delivery (Seg a Sex) *";"0,00";"15,00";"74,97";"455,13";"374,85"
"06/01/2023";"Salgadinho Zooreta de Cebola";"0,00";"1,00";"6,20";"86,48";"6,20"
"06/01/2023";"Salsicha de soja - Goshen";"0,00";"1,00";"21,90";"201,33";"21,90"
"06/01/2023";"Suco de uva (Campo Largo) 200ml";"0,00";"1,00";"4,50";"201,33";"4,50"
"06/01/2023";"Suco-refresco do dia";"0,00";"32,00";"110,00";"1.325,24";"160,00"
"06/01/2023";"Supino vegano - Banana Brasil";"0,00";"1,00";"2,90";"52,88";"2,90"
"06/01/2023";"Taxa de entrega";"0,00";"1,00";"5,99";"30,98";"5,99"
"06/01/2023";"The New Fish - Camarao Empanado";"0,00";"1,00";"24,90";"24,90";"24,90"
"06/01/2023";"Torta de vegarela 2 un - Lar Vegan";"0,00";"3,00";"53,70";"352,58";"44,92"
"06/01/2023";"Zona Azul 1 hora";"0,00";"6,00";"11,25";"176,05";"13,50"
"07/01/2023";"(Viagem) Cantina Italiana *";"0,00";"7,00";"113,96";"300,62";"194,33"
"07/01/2023";"Bananinha com acucar - Paraibuna";"0,00";"5,00";"9,60";"249,64";"16,00"
"07/01/2023";"Bananinha sem acucar - Paraibuna";"0,00";"2,00";"7,60";"152,76";"7,60"
"07/01/2023";"Basi Co - Queijo minas frescal";"0,00";"2,00";"51,80";"411,62";"51,80"
"07/01/2023";"Basi Co - Requeijao";"0,00";"1,00";"16,90";"187,20";"15,21"
"07/01/2023";"Biscoito de polvilho Da Roca (Graos e Ervas Finas)";"0,00";"2,00";"4,50";"136,77";"9,00"
"07/01/2023";"Biscoito de polvilho Da Roca (Quinoa Real)";"0,00";"2,00";"4,50";"130,57";"9,00"
"07/01/2023";"Biscoito Krocao Ossinho Mini";"0,00";"1,00";"11,70";"130,57";"11,70"
"07/01/2023";"Bites free minis - Brigadeiro funcional (NaturalLife)";"0,00";"1,00";"10,90";"315,74";"10,90"
"07/01/2023";"Bola de sorvete (1un)";"0,00";"7,00";"21,00";"367,03";"49,00"
"07/01/2023";"Bolinho sabor laranja com cenoura - Suavipan";"0,00";"4,00";"13,50";"250,97";"18,00"
"07/01/2023";"Bolinho sabor maca com canela - Suavipan";"0,00";"1,00";"4,50";"80,89";"4,50"
"07/01/2023";"Bombom Sakura - creme de amendoas  (Seren dips)";"0,00";"1,00";"7,50";"175,17";"7,50"
"07/01/2023";"Bombom Sakura - ganache meio amargo (Seren dips)";"0,00";"7,00";"37,50";"842,09";"52,50"
"07/01/2023";"Bombom Smore Baunilha - Smarsh";"0,00";"1,00";"4,90";"113,28";"4,90"
"07/01/2023";"Brownie (pedaco) (sobremesa salao)";"0,00";"2,00";"16,00";"145,96";"16,00"
"07/01/2023";"Brownie (viagem - pronto)";"0,00";"1,00";"8,00";"601,99";"8,00"
"07/01/2023";"Brownie com 01 bola de sorvete";"0,00";"3,00";"30,00";"169,96";"45,00"
"07/01/2023";"Buffet Cantina Italiana *";"0,00";"145,00";"2.248,35";"6.052,41";"4.296,80"
"07/01/2023";"Castanha de caju torrada e salgada 250g";"0,00";"3,00";"20,90";"62,70";"62,70"
"07/01/2023";"Chocolate 250 gr - Vovo Floria";"0,00";"1,00";"14,90";"122,68";"14,90"
"07/01/2023";"Coador de Pano Voal";"0,00";"1,00";"25,00";"41,90";"25,00"
"07/01/2023";"Colar aromatizador (mandala) - Phytoterapica";"0,00";"1,00";"69,90";"175,17";"69,90"
"07/01/2023";"Combo Almoço+sobremesa+bebida (Sabado)";"0,00";"5,00";"73,98";"917,73";"184,95"
"07/01/2023";"Cookie Cumaru com chocolate (1un) Raizes";"0,00";"11,00";"63,00";"1.464,32";"77,00"
"07/01/2023";"Creme dental Menta e Melaleuca - Boni Natural";"0,00";"1,00";"16,90";"158,48";"16,90"
"07/01/2023";"Dadinho";"0,00";"13,00";"1,50";"218,25";"5,80"
"07/01/2023";"Doce de leite de soja - Soymilke";"0,00";"1,00";"17,90";"601,99";"17,90"
"07/01/2023";"Esfiha calabresa 2 un - Lar Vegan";"0,00";"2,00";"35,80";"245,70";"35,80"
"07/01/2023";"Esponja vegetal para louça - Biowash";"0,00";"1,00";"8,90";"158,48";"8,90"
"07/01/2023";"Farofa artesanal Raizes (sem pimenta)";"0,00";"1,00";"11,90";"187,20";"10,71"
"07/01/2023";"Fudge vegano - Castanha do Para (Seren dips)";"0,00";"3,00";"5,00";"187,20";"13,50"
"07/01/2023";"Futuro Atum";"0,00";"2,00";"19,90";"250,45";"39,80"
"07/01/2023";"Futuro Burger defumado";"0,00";"1,00";"22,90";"94,28";"22,90"
"07/01/2023";"Goiabada Zero Individual";"0,00";"1,00";"3,20";"100,17";"3,20"
"07/01/2023";"Goiabinha 250 gr - Vovo Floria";"0,00";"7,00";"89,40";"897,52";"104,30"
"07/01/2023";"Grand Gateau (incluir o mondo) - Salao";"0,00";"2,00";"20,00";"232,25";"20,00"
"07/01/2023";"Iogurte grego tradicional - Vidaveg";"0,00";"1,00";"9,90";"91,78";"9,90"
"07/01/2023";"Leite condensado 250 gr - Vovo Floria";"0,00";"3,00";"29,80";"257,46";"44,70"
"07/01/2023";"Leite condensado de soja - Soymilke";"0,00";"2,00";"16,90";"601,99";"33,80"
"07/01/2023";"Leite Naveia Original";"0,00";"2,00";"15,90";"187,20";"28,62"
